,body,name,location
0,femur_l,LTH1,[ 0.02676514725220392 -0.20405385418302385 -0.03675849963891356]
1,femur_l,LTH2,[ 0.01251368381281586 -0.2802290038137466  -0.04139866162101034]
2,femur_l,LTH3,[ 0.05545217435991937 -0.24948745736513092 -0.01688203254339684]
3,femur_l,LGT,[-0.0153528661436934  -0.01055153794117825 -0.08583270837674066]
4,femur_l,LKNE,[ 0.0000932740634556  -0.3864602141845966  -0.04848296953666296]
5,femur_l,LMKNE,[-0.00012093210196652 -0.3881366243141612   0.04915602902350445]
