,body,name,location
0,tibia_r,RTB1,[-0.00252806934433622 -0.12721470288658096  0.06442644407127424]
1,tibia_r,RTB2,[-0.03297835373346652 -0.1701713233809924   0.06129639611843778]
2,tibia_r,RTB3,[ 0.00865161355244838 -0.2166215262537253   0.06234898472942067]
3,tibia_r,RANK,[ 0.00278293741850204 -0.36623882035981387  0.0582944561099835 ]
4,tibia_r,RMMA,[ 0.01267554251391802 -0.36222844844935914 -0.04414687969259876]
