,body,name,location
0,patella_r,recfem_r-P2,[ 0.00649730550860165  0.04720083711492668 -0.00036140083775624]
1,patella_r,recfem_r-P3,[0.01503587357544779 0.03701045034206323 0.0009240182538662 ]
2,patella_r,recfem_r-P4,[0.00349052214671372 0.00100993630380708 0.00112100360213668]
3,patella_r,vasint_r-P3,[ 0.0044494095829102   0.04680920839385976 -0.0017773340301633 ]
4,patella_r,vasint_r-P4,[0.00356100044764554 0.00099484501912957 0.00063657839532625]
5,patella_r,vaslat_r-P3,[0.005673863007954   0.03672849261498504 0.02196418113135393]
6,patella_r,vaslat_r-P4,[0.00205196462967716 0.00123482169619149 0.01007326440004315]
7,patella_r,vasmed_r-P3,[ 0.00662571770196647  0.03995534353526625 -0.01839174215218445]
8,patella_r,vasmed_r-P4,[ 0.00435350267995259  0.00059915631419233 -0.00826284302773272]
