,body,name,location
0,patella_l,recfem_l-P2,[0.0047142320277425  0.05283160231838286 0.00020103190194705]
1,patella_l,recfem_l-P3,[0.00600154167732239 0.0496793923619677  0.00183360813057963]
2,patella_l,recfem_l-P4,[ 0.00396514532499524  0.00048524837723602 -0.00104321433816562]
3,patella_l,vasint_l-P3,[0.00262351210129449 0.05066212009084473 0.00309077887617212]
4,patella_l,vasint_l-P4,[ 0.00400941489817841  0.00049820335051049 -0.00064804332098262]
5,patella_l,vaslat_l-P3,[ 0.00205181693325284  0.0374590437902869  -0.02025859717473665]
6,patella_l,vaslat_l-P4,[ 0.00299856608295995  0.00019439007050499 -0.00896289120572777]
7,patella_l,vasmed_l-P3,[0.00346464983153989 0.04548338366215381 0.02028599514598973]
8,patella_l,vasmed_l-P4,[0.00501033358174416 0.00018591611272888 0.00641904630252117]
