,body,name,location
0,pelvis,RASI,[0.01687238155216521 0.00153177383698981 0.10982153270015735]
1,pelvis,RPSI,[-0.15379110463958023  0.04237411702407368  0.05196445933287774]
2,pelvis,LPSI,[-0.1531580771736555   0.03749101197302382 -0.05189576383198286]
3,pelvis,LASI,[ 0.01639727914072347  0.00204304283992016 -0.11038319805031   ]
4,pelvis,PE01,[-0.1356754225971527   0.066579202513678   -0.00059869159259849]
5,pelvis,PE02,[-0.16067686646739987  0.02747098440061518  0.03565384219494054]
6,pelvis,PE03,[-0.1602572505384975   0.02431624528854131 -0.03427281745280256]
