name,body,location
tibia_l_med,tibia_l,[-0.00022957772190245 -0.03052790103301672  0.04138261655982434]
tibia_l_epiph_yellow_anterior_plate,tibia_l,[ 0.01849334918072659 -0.02305278439118769  0.00021060631760622]
tibia_l_epiph_yellow_patel_tend_point,tibia_l,[ 0.02655919081336935 -0.05587487168456988  0.00280222701387687]
tibia_l_epiph_yellow_posteriormost,tibia_l,[-0.02309972625562341 -0.03369283808175533  0.00027001748685358]
tibia_l_ankle_yellow_anter,tibia_l,[ 0.01878341243284928 -0.35435461682142694  0.00259375596754104]
tibia_l_epiph_green_medial_lower_epiph,tibia_l,[-0.00059564856193195 -0.05261463622875649  0.02244666392526713]
fibula_l_as,tibia_l,[-0.00336629579950922 -0.0575520687786898  -0.02052366740418317]
tibia_l_midshaft_anter,tibia_l,[ 0.02019970950859308 -0.1915088127567679  -0.00698579695220685]
tibia_l_midshaft_poster,tibia_l,[-0.00322157188418416 -0.19149285125044826  0.00630673897801858]
fibula_l_midshaft_anter,tibia_l,[-0.01363733773904613 -0.19250411692604885 -0.02548891582700852]
tibia_l_anter_diaph_25,tibia_l,[ 0.0239638789433954  -0.09273985183575603 -0.00968084480310165]
tibia_l_anter_diaph_75,tibia_l,[ 0.01726548380164572 -0.2875690428602278  -0.00422579900300054]
fibula_l_anter_diaph_75,tibia_l,[-0.00787882574346454 -0.2882432962121356  -0.02199351360128824]
knee_r_center,tibia_r,[0. 0. 0.]
fibula_r_lat_malleol_tip,tibia_r,[-0.00841857089281763 -0.3929605487378907   0.02501273019305214]
tibia_r_med_malleol_tip,tibia_r,[ 0.01122498474022702 -0.3800692419275394  -0.02149587245283367]
ankle_r_lat,tibia_r,[-0.00624808028977662 -0.3716188536602574   0.04266699138874271]
ankle_r_med,tibia_r,[ 0.008480454347569  -0.3662797127053718 -0.0350293622092276]
ankle_r_center,tibia_r,[ 0.00113667851789763 -0.369122996504081    0.00394564054659658]
talus_r_center_in_tibia,tibia_r,[-0.00006104068574524 -0.3865835415968471   0.00002034767127585]
tibia_r_center,tibia_r,[ 0.                  -0.03120753594506721  0.                 ]
tibia_r_lat,tibia_r,[-0.00011982034631019 -0.03130104893641689  0.03922906051857494]
tibia_r_med,tibia_r,[-0.00012438906003798 -0.03093840990723118 -0.03947653084049744]
tibia_r_epiph_yellow_anterior_plate,tibia_r,[ 0.01846975443896678 -0.02262623433643864 -0.00052733278177385]
tibia_r_epiph_yellow_patel_tend_point,tibia_r,[ 0.02693934517177651 -0.0545973350172639  -0.00335091317026618]
tibia_r_epiph_yellow_posteriormost,tibia_r,[-0.02330798495340069 -0.03500673235130933  0.0002345018831277 ]
tibia_r_ankle_yellow_anter,tibia_r,[ 0.01804966964447832 -0.35684633461387694 -0.00028889051795078]
tibia_r_epiph_green_medial_lower_epiph,tibia_r,[-0.00029530025209225 -0.05291125812685454 -0.02142933655831938]
fibula_r_as,tibia_r,[-0.00285973957344796 -0.05828947310682864  0.01881098279826524]
tibia_r_midshaft_anter,tibia_r,[ 0.020122462652377   -0.18324818546977523  0.00587918853783452]
tibia_r_midshaft_poster,tibia_r,[-0.00377337430073433 -0.1839695225327408  -0.00594863106794503]
fibula_r_midshaft_anter,tibia_r,[-0.01367903341203088 -0.18497833206426606  0.02330194278967372]
tibia_r_anter_diaph_25,tibia_r,[ 0.02443317504211174 -0.0897836485686112   0.00858723928674031]
tibia_r_anter_diaph_75,tibia_r,[ 0.01642020181228369 -0.28645007215750434  0.0024484953094351 ]
fibula_r_anter_diaph_75,tibia_r,[-0.00980290451251491 -0.2875521191899959   0.01999849246361664]
