,body,name,location
0,femur_r,RTH1,[ 0.02282071268179031 -0.19269703092413876  0.05576998470481255]
1,femur_r,RTH2,[ 0.02191023063032203 -0.26747106756112193  0.0535915607835329 ]
2,femur_r,RTH3,[ 0.05306298168754517 -0.23528428575782312  0.04106614902768481]
3,femur_r,RGT,[-0.01266893633581896 -0.00551389942574096  0.085792063408372  ]
4,femur_r,RKNE,[ 0.00016214471307172 -0.3762680728954602   0.04942539986184035]
5,femur_r,RMKNE,[-0.00018173525712167 -0.38417434170718434 -0.05009503065858661]
