,body,name,location
0,femur_l,femur_l_center,[0. 0. 0.]
1,femur_l,knee_l_lat,[ 0.00000000000000002 -0.3870855518252747  -0.03669401483082037]
2,femur_l,knee_l_med,[ 0.                  -0.38828561785552     0.03669401483082015]
3,femur_l,gr_troch_as_l,[ 0.00118467690171443 -0.01106799639955048 -0.04613837670720161]
4,femur_l,gr_troch_lat_l,[-0.01854841317341476 -0.0182013633794036  -0.05810650582892151]
5,femur_l,gr_troch_ps_l,[-0.02960650280552587  0.00700444894738544 -0.03822113629573765]
6,femur_l,ls_troch_l,[-0.02562532129111815 -0.04904173017672861 -0.00736145089887679]
7,femur_l,knee_l_center_in_femur_l,[-0.00000290856079676 -0.3877017931761645   0.00128970220316093]
8,femur_l,femur_l_midshaft_anter,[ 0.02682001871485408 -0.19644432060746045 -0.01365714192920465]
9,femur_l,femur_l_midshaft_poster,[ 0.00592780239455277 -0.19310342103595354 -0.01559012130099612]
10,femur_l,femur_l_anter_diaph_25,[ 0.01377565621504412 -0.09932971743197518 -0.0272680088205735 ]
11,femur_l,femur_l_poster_diaph_25,[-0.0124736737819386  -0.09407409536567243 -0.03164480338328984]
12,femur_l,femur_l_anter_diaph_75,[ 0.02970576369766447 -0.29284165557431197 -0.0048150937581707 ]
13,femur_l,femur_l_poster_diaph_75,[ 0.00743631948359589 -0.2891210249810535  -0.00684162156623436]
14,femur_l,patella_l_in_femur_l,[ 0.04149510482283023 -0.40945227567916986  0.00291459553512497]
