name,r,a,s
bflh_r-P2,109.25680423957184,-53.5546410656849,280.2295815387728
bflh_r-P3,116.2779676803633,-49.93362091921133,271.21494700067217
bfsh_r-P2,117.46184639673777,-51.45941391223393,274.3740700300823
edl_r-P1,109.52677442703754,-37.43112691562708,208.59476419823022
edl_r-P2,114.91718733720386,0.49460868965782856,-47.21470754491123
ehl_r-P1,107.52417969608757,-35.74053435795332,172.85088382482076
ehl_r-P2,110.94351436387937,-15.089155923162885,37.82188788134668
ehl_r-P3,99.47177361708147,6.033210793668164,-40.83246093340341
fdl_r-P1,85.69668994069517,-21.51073086247538,146.83142821733088
fdl_r-P2,83.34015876867471,-26.57158248246878,-37.60300050547308
fhl_r-P1,106.71272387047948,-51.66118076575472,112.98014846077999
fhl_r-P2,88.0444375866048,-33.19832588448086,-40.26187900670704
grac_r-P2,51.00822947657127,-29.481038627350078,269.9349802540892
grac_r-P3,70.5063871059462,-13.438082845061746,251.99142359833823
perbrev_r-P1,114.49804514304728,-46.08754288318947,75.77780478130234
perbrev_r-P2,124.83716912874154,-46.120851556076445,-61.43157481904541
perbrev_r-P3,127.21161118916734,-40.55126607591478,-72.01336423741505
perlong_r-P1,117.30692893072015,-42.74967772762106,188.72830475665324
perlong_r-P2,123.87389905174149,-43.84871715192636,-62.06482413159583
perlong_r-P3,125.8168069737358,-39.030648110681796,-72.97535852038237
recfem_r-P5,91.56112269746855,12.602617198217942,260.66786253981786
sart_r-P3,41.99259733358961,-34.441256388667945,276.0158840031414
sart_r-P4,55.528715489033324,-27.826943337727087,259.0810958850293
sart_r-P5,87.46213065502592,-5.086770757132279,242.56091041188324
semimem_r-P2,60.37752601273051,-41.09337457012853,274.2914337499587
semiten_r-P2,56.84495157514826,-42.61844451508361,265.9203023985073
semiten_r-P3,75.41732316848062,-14.222869007601796,244.98376289746182
soleus_r-P1,98.77114349005036,-27.35228146934392,231.10480545574663
tfl_r-P4,126.2297517564772,-13.816116263712974,278.70044535167415
tibant_r-P1,108.83469418003598,-7.821940644352385,196.3535897161744
tibant_r-P2,105.46148175342995,1.0566612019516897,141.24369648168278
tibant_r-P3,88.20620803473719,10.609603628678233,-37.49998242042722
tibpost_r-P1,99.6621511493975,-24.77716893408703,195.89838279199734
tibpost_r-P2,77.93973639471133,-24.47338234451788,-38.63469968040675
vasint_r-P5,92.57102179218104,12.408146596247876,260.59345608366505
vaslat_r-P5,97.81770097565042,11.513049726835238,260.4100925681331
vasmed_r-P5,84.40371135616085,13.093587291517153,260.16336962823715
