name,r,a,s
Gastroc_at_condyles_l,-71.54701295466977,-17.075579707761698,297.3232308101834
KnExt_at_fem_l,-73.29714423565916,-18.80205687003726,304.5503653977915
AB_at_femshaft_l,-85.25050295454389,-15.660966434920692,579.8840362299251
AL_at_femshaft_l,-75.76837297529218,0.3401012617012566,464.38098346627254
AMprox_at_femshaft_l,-91.26640013333792,-26.066528113164246,619.651762019209
AMmid_at_femshaft_l,-80.16072534289634,-7.041305045196793,532.9425020417445
AMdist_at_femshaft_l,-71.78602945005139,1.1090225990680807,436.70870551724846
AMisch_at_condyles_l,-66.96775548456988,-44.99706931495966,333.01985648934635
PECT_at_femshaft_l,-94.6221800062932,-24.36013847394912,608.3265223554107
